Time(s),Time(minute),Time(h),bottom1(C),bottom2(C),inlet(C),outlet(C),,,,TC1(C),TC2(C),TC3(C),,,,,
884.613120,14.743552,0.245726,22.1397,22.4311,22.8127,24.0711,-9999,-59994.03,-9999,22.6481,22.9337,22.7124,-0.0406,-0.1912,-0.3214,-32.3613,-0.5128
891.023360,14.850389,0.247506,22.1438,22.4299,22.8106,24.0658,-9999,-59994.03,-9999,22.6408,22.9349,22.7124,-0.0394,-0.1939,-0.3244,-32.6657,-0.5214
897.433600,14.957227,0.249287,22.142,22.3943,22.7794,24.0524,-9999,-59994.03,-9999,22.6338,22.933,22.7131,-0.039,-0.1954,-0.326,-33.0129,-0.5247
903.843840,15.064064,0.251068,28.3623,20.9739,18.8759,20.6711,-9999,-59994.03,-9999,19.6986,20.1633,20.3067,-0.0445,-0.1992,-0.3277,-33.0878,-0.529
910.254080,15.170901,0.252848,27.3976,22.0269,19.5582,21.5081,-9999,-59994.03,-9999,19.6266,20.313,20.4494,-0.0442,-0.202,-0.3315,-33.6275,-0.5361
916.664320,15.277739,0.254629,27.4549,23.4374,19.871,21.5046,-9999,-59994.03,-9999,19.4027,20.4802,20.392,-0.039,-0.1999,-0.3336,-34.1367,-0.544
923.074560,15.384576,0.256410,27.5996,25.1239,19.7862,21.6226,-9999,-59994.03,-9999,19.8822,20.2634,20.5159,-0.0378,-0.2003,-0.336,-34.9266,-0.551
929.484800,15.491413,0.258190,27.9449,26.9029,19.6662,21.3491,-9999,-59994.03,-9999,19.5675,20.2907,20.477,-0.0416,-0.2055,-0.3385,-35.3659,-0.5579
935.895040,15.598251,0.259971,28.3184,28.6654,19.5916,21.7512,-9999,-59994.03,-9999,19.7044,20.5043,20.5094,-0.0411,-0.2064,-0.3404,-35.5157,-0.5615
942.305280,15.705088,0.261751,28.7552,30.5878,19.919,21.4375,-9999,-59994.03,-9999,19.878,20.3463,20.6583,-0.0406,-0.2056,-0.3383,-35.4342,-0.5618
948.715520,15.811925,0.263532,29.3214,32.3327,19.8266,21.5,-9999,-59994.03,-9999,19.7165,20.4505,20.5388,-0.045,-0.2083,-0.3425,-35.7556,-0.5693
955.125760,15.918763,0.265313,29.8395,34.0058,19.6416,21.5467,-9999,-59994.03,-9999,20.0209,20.2694,20.6168,-0.0459,-0.2101,-0.3476,-36.0469,-0.5727
961.536000,16.025600,0.267093,30.5377,35.6999,19.7686,21.493,-9999,-59994.03,-9999,19.7005,20.4299,20.6356,-0.0458,-0.2151,-0.3545,-36.4231,-0.5782
967.946240,16.132437,0.268874,31.2273,37.4428,19.9832,21.4768,-9999,-59994.03,-9999,19.7026,20.5601,20.7271,-0.0503,-0.2193,-0.3594,-37.3108,-0.5839
974.356480,16.239275,0.270655,31.9711,39.1027,19.9413,21.4065,-9999,-59994.03,-9999,19.9023,20.4209,20.7414,-0.0504,-0.2223,-0.364,-38.0434,-0.5873
980.766720,16.346112,0.272435,32.7378,40.5566,19.4657,21.6062,-9999,-59994.03,-9999,19.8516,20.602,20.5958,-0.045,-0.2203,-0.3663,-38.394,-0.5896
987.176960,16.452949,0.274216,33.4458,42.2392,19.9952,21.3627,-9999,-59994.03,-9999,19.8634,20.5999,20.7627,-0.0424,-0.216,-0.3655,-38.3411,-0.591
993.587200,16.559787,0.275996,34.4016,43.8523,19.7703,21.5395,-9999,-59994.03,-9999,20.0673,20.5367,20.8949,-0.0436,-0.2144,-0.3655,-38.7381,-0.5966
999.997440,16.666624,0.277777,35.2042,45.3897,19.6648,21.5622,-9999,-59994.03,-9999,19.9656,20.6212,20.9729,-0.0439,-0.2181,-0.3693,-38.9989,-0.5995
1006.407680,16.773461,0.279558,36.0551,46.8746,19.3895,21.5816,-9999,-59994.03,-9999,20.1838,20.756,20.6884,-0.0459,-0.2239,-0.3752,-39.5291,-0.6044
1012.817920,16.880299,0.281338,36.9363,48.4501,19.5086,21.6966,-9999,-59994.03,-9999,19.9957,20.6673,21.0713,-0.0517,-0.2263,-0.3787,-39.861,-0.6082
1019.228160,16.987136,0.283119,37.9613,49.9721,19.6029,21.5145,-9999,-59994.03,-9999,20.207,20.4528,21.0771,-0.0526,-0.2295,-0.3856,-40.7635,-0.6183
1025.638400,17.093973,0.284900,38.7721,51.4717,19.554,21.6378,-9999,-59994.03,-9999,20.0904,20.7599,21.0222,-0.0504,-0.2304,-0.3887,-41.3871,-0.6208
1032.048640,17.200811,0.286680,39.6921,52.9767,19.7478,21.3958,-9999,-59994.03,-9999,20.1446,20.8717,21.0512,-0.0488,-0.2285,-0.3864,-41.3516,-0.6191
1038.458880,17.307648,0.288461,40.6248,54.4176,19.5204,21.5636,-9999,-59994.03,-9999,20.1463,20.5045,21.3155,-0.0457,-0.226,-0.3812,-41.0165,-0.6238
1044.869120,17.414485,0.290241,41.6406,55.8759,19.5828,21.5448,-9999,-59994.03,-9999,20.1745,20.7895,21.368,-0.0501,-0.2299,-0.3851,-41.4688,-0.6328
1051.279360,17.521323,0.292022,42.6189,57.2681,19.6945,21.3424,-9999,-59994.03,-9999,20.3103,20.9794,21.1794,-0.054,-0.2375,-0.3911,-42.1882,-0.639
1057.689600,17.628160,0.293803,43.6244,58.8072,19.8004,21.5816,-9999,-59994.03,-9999,20.1801,20.8356,21.212,-0.0516,-0.2381,-0.3946,-42.2721,-0.6422
1064.099840,17.734997,0.295583,44.6283,60.2467,19.9318,21.4879,-9999,-59994.03,-9999,20.4064,20.8731,21.3057,-0.0497,-0.2376,-0.396,-42.3788,-0.647
1070.510080,17.841835,0.297364,45.6311,61.6827,19.8115,21.6684,-9999,-59994.03,-9999,20.4659,20.9247,21.3573,-0.0498,-0.2407,-0.3966,-42.6141,-0.6481
1076.920320,17.948672,0.299145,46.5554,63.0506,19.7499,21.6897,-9999,-59994.03,-9999,20.7727,20.6629,21.7833,-0.0532,-0.2407,-0.4011,-43.1557,-0.6527
1083.330560,18.055509,0.300925,47.6635,64.469,19.4066,21.6614,-9999,-59994.03,-9999,20.5474,20.9479,21.8828,-0.0533,-0.2391,-0.4006,-43.2901,-0.6527
1089.740800,18.162347,0.302706,48.6308,65.8743,19.6377,21.6529,-9999,-59994.03,-9999,20.8188,21.1703,21.7796,-0.0531,-0.2369,-0.3996,-43.2268,-0.6553
1096.151040,18.269184,0.304486,49.7783,67.3847,19.7322,21.5856,-9999,-59994.03,-9999,20.9403,20.8882,22.0164,-0.0545,-0.2389,-0.402,-43.8407,-0.6613
1102.561280,18.376021,0.306267,50.7164,68.8186,19.9065,21.5812,-9999,-59994.03,-9999,21.1181,20.8847,22.426,-0.053,-0.2389,-0.4011,-43.8945,-0.6614
1108.971520,18.482859,0.308048,51.7673,70.1205,19.7339,21.5916,-9999,-59994.03,-9999,21.1563,21.0921,22.2812,-0.0444,-0.2286,-0.3878,-42.7953,-0.6528
1115.381760,18.589696,0.309828,52.8212,71.5889,19.884,21.4058,-9999,-59994.03,-9999,21.2576,21.1138,22.4255,-0.0368,-0.2184,-0.379,-41.9747,-0.6498
1121.792000,18.696533,0.311609,53.941,72.9132,19.8293,21.5113,-9999,-59994.03,-9999,21.0331,21.3587,22.6229,-0.0338,-0.2097,-0.3739,-41.6636,-0.6471
1128.202240,18.803371,0.313390,55.0366,74.3101,19.6882,21.4372,-9999,-59994.03,-9999,21.3292,21.3508,22.9539,-0.0354,-0.208,-0.3709,-41.2182,-0.645
1134.612480,18.910208,0.315170,56.0944,75.7249,19.8882,21.4303,-9999,-59994.03,-9999,21.2926,21.2754,23.2582,-0.039,-0.2113,-0.3705,-40.9652,-0.6415
1141.022720,19.017045,0.316951,57.2627,77.0703,19.9816,21.5587,-9999,-59994.03,-9999,21.5916,21.2921,23.4949,-0.0413,-0.213,-0.3686,-40.5311,-0.6352
1147.432960,19.123883,0.318731,58.1774,78.4545,20.0147,21.3715,-9999,-59994.03,-9999,21.5365,21.5584,23.4256,-0.0452,-0.2208,-0.3737,-40.7566,-0.6365
1153.843200,19.230720,0.320512,59.1835,79.6258,19.7997,21.4877,-9999,-59994.03,-9999,21.4365,21.5982,24.0154,-0.0542,-0.2267,-0.3733,-40.5294,-0.6361
1160.253440,19.337557,0.322293,60.4002,81.0278,19.9074,21.5795,-9999,-59994.03,-9999,21.6778,21.5933,24.2045,-0.0583,-0.2304,-0.3771,-40.4959,-0.6325
1166.663680,19.444395,0.324073,61.4637,82.3224,19.6727,21.6626,-9999,-59994.03,-9999,22.1615,21.727,24.1618,-0.056,-0.2304,-0.378,-40.2169,-0.6257
1173.073920,19.551232,0.325854,62.4707,83.5557,19.7573,21.3831,-9999,-59994.03,-9999,22.0664,21.684,24.625,-0.0523,-0.2247,-0.3734,-39.4722,-0.6195
1179.484160,19.658069,0.327634,63.5381,84.8986,19.5798,21.6524,-9999,-59994.03,-9999,22.1973,22.1297,24.8949,-0.051,-0.2186,-0.3683,-38.9155,-0.6117
1185.894400,19.764907,0.329415,64.7273,86.2439,19.5939,21.5668,-9999,-59994.03,-9999,22.4859,21.8686,25.0506,-0.0469,-0.2157,-0.3696,-39.1399,-0.6087
1192.304640,19.871744,0.331196,65.6943,87.4689,19.4393,21.7089,-9999,-59994.03,-9999,22.6163,22.0708,25.3411,-0.0406,-0.2077,-0.3642,-38.8623,-0.6055
1198.714880,19.978581,0.332976,66.7652,88.7635,19.7533,21.4072,-9999,-59994.03,-9999,22.5839,22.2939,25.5187,-0.0302,-0.191,-0.3474,-37.6698,-0.5954
1205.125120,20.085419,0.334757,67.932,90.1383,19.6555,21.5467,-9999,-59994.03,-9999,22.959,22.3369,26.0762,-0.036,-0.1876,-0.3426,-37.2822,-0.591
1211.535360,20.192256,0.336538,69.0637,91.3461,19.5024,21.559,-9999,-59994.03,-9999,23.0625,22.6955,26.2062,-0.0373,-0.1919,-0.3429,-37.0646,-0.5874
